# Copyright (C) 1991-2024 Intel Corporation. All rights reserved.,,,,,,,,,,,
# Your use of Altera Corporation's design tools, logic functions ,,,,,,,,,,
# and other software and tools, and its AMPP partner logic ,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,
# to the terms and conditions of the Altera Program License ,,,,,,,,,,,
# Subscription Agreement, the Altera Quartus Prime License Agreement,,,,,,,,,,
# the Altera MegaCore Function License Agreement, or other ,,,,,,,,,,
# applicable license agreement, including, without limitation, ,,,,,,,,
# that your use is for the sole purpose of programming logic ,,,,,,,,,,,
# devices manufactured by Altera and sold by Altera or its ,,,,,,,,,,,
# authorized distributors.  Please refer to the applicable ,,,,,,,,,,,
# agreement for further details.,,,,,,,,,,,
,,,,,,,,,,,
# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Standard Edition,,,,,,,,,,,
# File: F:\lab8\lab8.csv,,,,,,,,,,,
# Generated on: Thu Apr 14 11:13:11 2016,,,,,,,,,,,
,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,
,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLOCK_50,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
EXT_SW,Input,PIN_AC19,4,B4_N0,PIN_AC19,2.5 V,,,,,
HEX0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
HEX0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
HEX0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
KEY[3],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
KEY[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
KEY[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
KEY[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
LCD_BLON,Output,PIN_L6,1,B1_N2,PIN_L6,2.5 V,,,,,
LCD_DATA[7],Output,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
LCD_DATA[6],Output,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
